Cas;ID;Admission;Séjour / Congé;Fugue;Provenance;Date de début;Année de début;Séjour;Date de fin;Durée;Date majorité;Destination;Motifs de placement
75;OOuOkd1xkxx;Admission 3;;;CSEE_X;27.07.2022;2022;;17.10.2022;83;45132;CSEE_X; 
75;OOuOkd1xkxx;;Séjour 4;;CSEE_X Intensivpädagogische  Wohngruppe;27.07.2022;2022;CSEE Unisec;17.10.2022;83;45132;;
75;OOuOkd1xkxx;Admission 4;;;CSEE_X Intensivpädagogische  Wohngruppe;17.10.2022;2022;;14.03.2023;149;45132;CSEE Unisec; 
75;OOuOkd1xkxx;;Séjour 5;;CSEE Unisec;17.10.2022;2022;CSEE_X Intensivpädagogische Wohngruppe;17.10.2022;1;45132;;
75;OOuOkd1xkxx;;Congé 2;;CSEE_X Intensivpädagogische  Wohngruppe;17.10.2022;2022;;25.11.2022;40;45132;Eltern / Familie;
75;OOuOkd1xkxx;;Séjour 6;;Eltern / Familie;25.11.2022;2022;CSEE_X Intensivpädagogische Wohngruppe;14.03.2023;110;45132;;
75;OOuOkd1xkxx;;;Fugue 6;;26.11.2022;2022;CSEE_X Intensivpädagogische Wohngruppe;15.03.2023;109;45132;;
75;OOuOkd1xkxx;Admission 5;;;CSEE_X Intensivpädagogische  Wohngruppe;14.03.2023;2023;;03.07.2023;112;45132;Eltern / Familie;a b c d e g h m 
75;OOuOkd1xkxx;;Séjour 7;;CSEE_X Intensivpädagogische  Wohngruppe;14.03.2023;2023;CSEE Unisec;03.07.2023;112;45132;;
75;OOuOkd1xkxx;;Congé 3;;CSEE Unisec;03.07.2023;2023;;26.07.2023;24;45132;Eltern / Familie;
76;wrzGGYjmFLg;Admission 1;;;;27.01.2021;2021;;30.03.2022;428;45071;CSEE_X; 
76;wrzGGYjmFLg;;Séjour 1;;;27.01.2021;2021;CSEE Unisec;31.03.2022;429;45071;;
76;wrzGGYjmFLg;;Congé 1;;CSEE Unisec;31.03.2022;2022;;11.05.2022;42;45071;Einzelmassnahme Ausland;
76;wrzGGYjmFLg;;Congé 2;;;11.05.2022;2022;;17.05.2022;7;45071;Einzelmassnahme Ausland;
76;wrzGGYjmFLg;Admission 2;;;Einzelmassnahme Ausland;17.05.2022;2022;;13.06.2022;28;45071;CSEE Unisec; 
76;wrzGGYjmFLg;;Séjour 2;;Einzelmassnahme Ausland;17.05.2022;2022;CSEE_X Intensivpädagogische Wohngruppe;13.06.2022;28;45071;;
76;wrzGGYjmFLg;;;Fugue 1;;02.06.2022;2022;CSEE_X Intensivpädagogische Wohngruppe;13.06.2022;11;45071;;
76;wrzGGYjmFLg;Admission 3;;;CSEE_X;13.06.2022;2022;;15.07.2022;33;45071;CSEE_X; 
76;wrzGGYjmFLg;;Séjour 3;;CSEE_X Intensivpädagogische  Wohngruppe;13.06.2022;2022;CSEE Unisec;15.07.2022;33;45071;;
76;wrzGGYjmFLg;Admission 4;;;CSEE Unisec;15.07.2022;2022;;18.08.2022;35;45071;CPL; 
76;wrzGGYjmFLg;;Séjour 4;;CSEE Unisec;15.07.2022;2022;CSEE_X Intensivpädagogische Wohngruppe;15.09.2022;63;45071;;
76;wrzGGYjmFLg;;;Fugue 2;;19.07.2022;2022;CSEE_X Intensivpädagogische Wohngruppe;24.07.2022;6;45071;;
76;wrzGGYjmFLg;;;Fugue 3;;26.07.2022;2022;CSEE_X Intensivpädagogische Wohngruppe;03.08.2022;8;45071;;
76;wrzGGYjmFLg;Admission 5;;;CSEE_X Intensivpädagogische  Wohngruppe;15.09.2022;2022;;16.11.2022;63;45071;CSEE_Y Intensivpädagogische Wohngruppe; 
76;wrzGGYjmFLg;;Séjour 5;;CPL;15.09.2022;2022;CSEE Unisec;16.11.2022;63;45071;;
76;wrzGGYjmFLg;Admission 6;;;CSEE Unisec;16.11.2022;2022;;21.02.2023;98;45071;CPL; 
76;wrzGGYjmFLg;;Séjour 6;;CSEE Unisec;16.11.2022;2022;CSEE_Y semi-autonome Wohngruppe;21.02.2023;98;45071;;
76;wrzGGYjmFLg;;;Fugue 4;;12.01.2023;2023;CSEE_Y semi-autonome Wohngruppe;16.01.2023;4;45071;;
76;wrzGGYjmFLg;;;Fugue 5;;14.02.2023;2023;CSEE_Y semi-autonome Wohngruppe;19.02.2023;6;45071;;
77;R9xbn3hicVU;Admission 1;;;Flüchtlingsstruktur LUX;27.07.2023;2023;;02.08.2023;7;45468;CSEE_X; 
77;R9xbn3hicVU;;Séjour 1;;Flüchtlingsstruktur LUX;27.07.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;02.08.2023;7;45468;;
77;R9xbn3hicVU;;;Fugue 1;;29.07.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;30.07.2023;2;45468;;
77;R9xbn3hicVU;Admission 2;;;CSEE_X Intensivpädagogische  Wohngruppe;02.08.2023;2023;;20.11.2023;111;45468;Flüchtlingsstruktur LUX; 
77;R9xbn3hicVU;;Séjour 2;;CSEE Unisec;02.08.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;20.11.2023;111;45468;;
77;R9xbn3hicVU;;;Fugue 2;;12.08.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;14.08.2023;2;45468;;
77;R9xbn3hicVU;;;Fugue 3;;18.08.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;30.08.2023;13;45468;;
77;R9xbn3hicVU;;;Fugue 4;;02.09.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;18.09.2023;16;45468;;
77;R9xbn3hicVU;;;Fugue 5;;20.09.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;10.10.2023;20;45468;;
77;R9xbn3hicVU;;;Fugue 6;;13.10.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;18.10.2023;5;45468;;
77;R9xbn3hicVU;;;Fugue 7;;20.10.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;22.10.2023;2;45468;;
77;R9xbn3hicVU;;;Fugue 8;;26.10.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;29.10.2023;3;45468;;
77;R9xbn3hicVU;;;Fugue 9;;30.10.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;05.11.2023;7;45468;;
77;R9xbn3hicVU;;;Fugue 10;;18.11.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;19.11.2023;2;45468;;
78;MaunKDnJfCs;Admission 1;;;Eltern / Familie;03.03.2020;2020;;15.01.2021;319;44190;majorité; 
78;MaunKDnJfCs;;Séjour 1;;Eltern / Familie;03.03.2020;2020;CSEE_Z Intensivpädagogische Wohngruppe;07.05.2020;66;44190;;
78;MaunKDnJfCs;;Séjour 2;;CSEE_Z Intensivpädagogische Wohngruppe;07.05.2020;2020;CSEE_Y Intensivpädagogische Wohngruppe;29.05.2020;23;44190;;
78;MaunKDnJfCs;;Congé 1;;CSEE_Y Intensivpädagogische Wohngruppe;29.05.2020;2020;;15.01.2021;232;44190;Eltern / Familie;
79;mc6uJMie0SY;Admission 1;;;Eltern / Familie;28.07.2021;2021;;05.02.2022;193;44586;majorité; 
79;mc6uJMie0SY;;Séjour 1;;Eltern / Familie;28.07.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;17.11.2021;113;44586;;
79;mc6uJMie0SY;;;Fugue 1;;28.07.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;02.08.2021;6;44586;;
79;mc6uJMie0SY;;;Fugue 2;;13.08.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;16.08.2021;4;44586;;
79;mc6uJMie0SY;;;Fugue 3;;16.08.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;22.08.2021;7;44586;;
79;mc6uJMie0SY;;;Fugue 4;;24.08.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;03.10.2021;41;44586;;
79;mc6uJMie0SY;;;Fugue 5;;12.10.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;17.10.2021;5;44586;;
79;mc6uJMie0SY;;Congé 1;;CSEE_X Intensivpädagogische  Wohngruppe;17.11.2021;2021;;26.11.2021;10;44586;Eltern / Familie;
79;mc6uJMie0SY;;Séjour 2;;Eltern / Familie;26.11.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;26.11.2021;1;44586;;
79;mc6uJMie0SY;;Congé 2;;CSEE_X Intensivpädagogische  Wohngruppe;26.11.2021;2021;;05.02.2022;72;44586;Eltern / Familie;
80;9Bhm8kh0xkw;Admission 1;;;Eltern / Familie;13.11.2020;2020;;15.05.2023;914;45041;majorité; 
80;9Bhm8kh0xkw;;Séjour 1;;Eltern / Familie;13.11.2020;2020;CSEE_X Intensivpädagogische Wohngruppe;18.04.2021;157;45041;;
80;9Bhm8kh0xkw;;;Fugue 1;;05.03.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;08.03.2021;3;45041;;
80;9Bhm8kh0xkw;;;Fugue 2;;12.03.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;14.03.2021;3;45041;;
80;9Bhm8kh0xkw;;;Fugue 3;;29.03.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;31.03.2021;3;45041;;
80;9Bhm8kh0xkw;;;Fugue 4;;31.03.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;02.04.2021;3;45041;;
80;9Bhm8kh0xkw;;;Fugue 5;;02.04.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;04.04.2021;3;45041;;
80;9Bhm8kh0xkw;;Séjour 2;;CSEE_X Intensivpädagogische  Wohngruppe;18.04.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;08.11.2021;205;45041;;
80;9Bhm8kh0xkw;;;Fugue 6;;19.04.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;20.04.2021;2;45041;;
80;9Bhm8kh0xkw;;;Fugue 7;;21.04.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;22.04.2021;2;45041;;
80;9Bhm8kh0xkw;;;Fugue 8;;24.04.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;28.04.2021;4;45041;;
80;9Bhm8kh0xkw;;;Fugue 9;;30.04.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;02.05.2021;3;45041;;
80;9Bhm8kh0xkw;;;Fugue 10;;09.05.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;10.05.2021;2;45041;;
80;9Bhm8kh0xkw;;Congé 1;;;20.09.2021;2021;;08.11.2021;50;45041;Eltern / Familie;
80;9Bhm8kh0xkw;;Congé 2;;CSEE_X Intensivpädagogische  Wohngruppe;08.11.2021;2021;;15.05.2023;554;45041;Eltern / Familie;
80;9Bhm8kh0xkw;;;Fugue 11;;08.12.2021;2021;;13.12.2021;6;45041;;
81;OQtjHxxGCcE;Admission 1;;;Heimstruktur AEF LUX;23.01.2025;2025;;;;47021;;a b c l m 
81;OQtjHxxGCcE;;Séjour 1;;Heimstruktur AEF LUX;23.01.2025;2025;CSEE_Y Aufnahmegruppe;15.02.2025;24;47021;;
81;OQtjHxxGCcE;;Séjour 2;;CSEE_Y Aufnahmegruppe;15.02.2025;2025;CSEE_Z Intensivpädagogische Wohngruppe;;;47021;ongoing;
81;OQtjHxxGCcE;;;Fugue 1;;04.06.2025;2025;CSEE_Z Intensivpädagogische Wohngruppe;06.06.2025;2;47021;;
81;OQtjHxxGCcE;;;Fugue 2;;17.06.2025;2025;CSEE_Z Intensivpädagogische Wohngruppe;27.06.2025;11;47021;;
81;OQtjHxxGCcE;;;Fugue 3;;28.06.2025;2025;CSEE_Z Intensivpädagogische Wohngruppe;05.07.2025;7;47021;;
81;OQtjHxxGCcE;;;Fugue 4;;05.07.2025;2025;CSEE_Z Intensivpädagogische Wohngruppe;07.07.2025;3;47021;;
82;qkbIGcQmtlc;Admission 1;;;Eltern / Familie;03.08.2022;2022;;18.09.2022;47;45407;Eltern / Familie; 
82;qkbIGcQmtlc;;Séjour 1;;Eltern / Familie;03.08.2022;2022;CSEE_Y Intensivpädagogische Wohngruppe;18.09.2022;47;45407;;
82;qkbIGcQmtlc;;;Fugue 1;;16.09.2022;2022;CSEE_Y Intensivpädagogische Wohngruppe;18.09.2022;3;45407;;
83;4kJ8UOJHQ5o;Admission 1;;;Eltern / Familie;18.01.2021;2021;;14.04.2021;87;44982;CSEE Unisec; 
83;4kJ8UOJHQ5o;;Séjour 1;;Eltern / Familie;18.01.2021;2021;CSEE_Y Intensivpädagogische Wohngruppe;14.04.2021;87;44982;;
83;4kJ8UOJHQ5o;;;Fugue 1;;01.03.2021;2021;CSEE_Y Intensivpädagogische Wohngruppe;03.03.2021;3;44982;;
83;4kJ8UOJHQ5o;;;Fugue 2;;04.03.2021;2021;CSEE_Y Intensivpädagogische Wohngruppe;05.03.2021;2;44982;;
83;4kJ8UOJHQ5o;;;Fugue 3;;25.03.2021;2021;CSEE_Y Intensivpädagogische Wohngruppe;28.03.2021;4;44982;;
83;4kJ8UOJHQ5o;;;Fugue 4;;29.03.2021;2021;CSEE_Y Intensivpädagogische Wohngruppe;02.04.2021;4;44982;;
83;4kJ8UOJHQ5o;Admission 2;;;CSEE_Y Intensivpädagogische Wohngruppe;14.04.2021;2021;;15.07.2021;93;44982;NA;m 
83;4kJ8UOJHQ5o;;Séjour 2;;CSEE_Y Intensivpädagogische Wohngruppe;14.04.2021;2021;CSEE Unisec;15.07.2021;93;44982;;
83;4kJ8UOJHQ5o;;Congé 1;;CSEE Unisec;15.07.2021;2021;;02.03.2023;596;44982;Eltern / Familie;
84;0gYi3VG2Xcw;Admission 1;;;Eltern / Familie;23.09.2022;2022;;;;46016;; 
84;0gYi3VG2Xcw;;Séjour 1;;Eltern / Familie;23.09.2022;2022;CSEE_Z Intensivpädagogische Wohngruppe;14.10.2022;22;46016;;
84;0gYi3VG2Xcw;;Congé 1;;CSEE_Z Intensivpädagogische Wohngruppe;14.10.2022;2022;;;;46016;;
85;wxuG7Gt5xA6;Admission 1;;;;25.10.2022;2022;;03.11.2022;10;44920;CSEE_X; 
85;wxuG7Gt5xA6;;Séjour 1;;;25.10.2022;2022;CSEE_X Intensivpädagogische Wohngruppe;03.11.2022;10;44920;;
85;wxuG7Gt5xA6;Admission 2;;;CSEE_X Intensivpädagogische  Wohngruppe;03.11.2022;2022;;08.01.2023;67;44920;majorité; 
85;wxuG7Gt5xA6;;Séjour 2;;CSEE_X Intensivpädagogische  Wohngruppe;03.11.2022;2022;CSEE_X Intensivpädagogische Wohngruppe;03.11.2022;1;44920;;
85;wxuG7Gt5xA6;;Congé 1;;CSEE_X Intensivpädagogische  Wohngruppe;03.11.2022;2022;;08.01.2023;67;44920;Eltern / Familie;
86;SVdcsrdCkUg;Admission 1;;;Eltern / Familie;10.02.2025;2025;;;;46106;;a m 
86;SVdcsrdCkUg;;Séjour 1;;Eltern / Familie;10.02.2025;2025;CSEE_Z Intensivpädagogische Wohngruppe;;;46106;;
86;SVdcsrdCkUg;Suivi 1;;;;22.07.2025;2025;;;;46106;;
87;AipnkxRUP0s;Admission 1;;;Heimstruktur AEF LUX;29.11.2021;2021;;20.12.2022;387;44890;majorité; 
87;AipnkxRUP0s;;Séjour 1;;Heimstruktur AEF LUX;29.11.2021;2021;CSEE_Z Intensivpädagogische Wohngruppe;20.12.2022;387;44890;;
87;AipnkxRUP0s;;;Fugue 1;;29.11.2021;2021;CSEE_Z Intensivpädagogische Wohngruppe;27.12.2021;28;44890;;
87;AipnkxRUP0s;;;Fugue 2;;29.12.2021;2021;CSEE_Z Intensivpädagogische Wohngruppe;07.04.2022;99;44890;;
87;AipnkxRUP0s;;;Fugue 3;;09.04.2022;2022;CSEE_Z Intensivpädagogische Wohngruppe;04.06.2022;56;44890;;
88;PECvYzaZLHA;Admission 1;;;;12.02.2023;2023;;17.02.2023;6;45407;Eltern / Familie; 
88;PECvYzaZLHA;;Séjour 1;;;12.02.2023;2023;CSEE Unisec;19.05.2023;97;45407;;
88;PECvYzaZLHA;Admission 2;;;Eltern / Familie;19.05.2023;2023;;18.08.2023;92;45407;CSEE Unisec; 
88;PECvYzaZLHA;;Séjour 2;;Eltern / Familie;19.05.2023;2023;CSEE Unisec;21.07.2023;64;45407;;
88;PECvYzaZLHA;;Séjour 3;;Eltern / Familie;21.07.2023;2023;CSEE Unisec;18.08.2023;29;45407;;
88;PECvYzaZLHA;;Congé 1;;CSEE Unisec;21.07.2023;2023;;21.07.2023;1;45407;Eltern / Familie;
88;PECvYzaZLHA;Admission 3;;;CSEE Unisec;18.08.2023;2023;;19.05.2024;276;45407;majorité;c g i 
88;PECvYzaZLHA;;Séjour 4;;CSEE Unisec;18.08.2023;2023;CSEE Unisec;25.08.2023;8;45407;;
88;PECvYzaZLHA;;Congé 2;;CSEE Unisec;25.08.2023;2023;;20.12.2023;118;45407;Eltern / Familie;
88;PECvYzaZLHA;;Séjour 5;;Eltern / Familie;20.12.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;21.12.2023;2;45407;;
88;PECvYzaZLHA;;Séjour 6;;;22.12.2023;2023;CSEE Unisec;19.04.2024;120;45407;;
88;PECvYzaZLHA;;Congé 3;;CSEE Unisec;19.04.2024;2024;;19.05.2024;31;45407;Eltern / Familie;
89;bWXRbF8lVG6;Admission 1;;;;05.06.2023;2023;;24.07.2023;50;45194;Flüchtlingsstruktur LUX; 
89;bWXRbF8lVG6;;Séjour 1;;;05.06.2023;2023;CSEE Unisec;24.07.2023;50;45194;;
90;mEZG5UpNyao;Admission 1;;;Eltern / Familie;15.07.2020;2020;;11.02.2021;212;44221;majorité; 
90;mEZG5UpNyao;;Séjour 1;;Eltern / Familie;15.07.2020;2020;CSEE_Z Intensivpädagogische Wohngruppe;21.12.2020;160;44221;;
90;mEZG5UpNyao;;;Fugue 1;;01.09.2020;2020;CSEE_Z Intensivpädagogische Wohngruppe;03.09.2020;2;44221;;
90;mEZG5UpNyao;;;Fugue 2;;04.09.2020;2020;CSEE_Z Intensivpädagogische Wohngruppe;06.09.2020;3;44221;;
90;mEZG5UpNyao;;;Fugue 3;;29.10.2020;2020;CSEE_Z Intensivpädagogische Wohngruppe;08.11.2020;10;44221;;
90;mEZG5UpNyao;;;Fugue 4;;08.11.2020;2020;CSEE_Z Intensivpädagogische Wohngruppe;16.11.2020;8;44221;;
90;mEZG5UpNyao;;;Fugue 5;;16.11.2020;2020;CSEE_Z Intensivpädagogische Wohngruppe;18.11.2020;2;44221;;
90;mEZG5UpNyao;;;Fugue 6;;25.11.2020;2020;CSEE_Z Intensivpädagogische Wohngruppe;30.11.2020;6;44221;;
90;mEZG5UpNyao;;;Fugue 7;;02.12.2020;2020;CSEE_Z Intensivpädagogische Wohngruppe;16.12.2020;15;44221;;
90;mEZG5UpNyao;;Congé 1;;CSEE_Z Intensivpädagogische Wohngruppe;21.12.2020;2020;;11.02.2021;53;44221;Eltern / Familie;
91;d8TIl72sYTI;Admission 1;;;Eltern / Familie;10.01.2020;2020;;19.07.2023;1287;45102;majorité; 
91;d8TIl72sYTI;;Séjour 1;;Eltern / Familie;10.01.2020;2020;CSEE_Z Intensivpädagogische Wohngruppe;07.05.2020;119;45102;;
91;d8TIl72sYTI;;;Fugue 1;;11.01.2020;2020;CSEE_Z Intensivpädagogische Wohngruppe;13.01.2020;2;45102;;
91;d8TIl72sYTI;;;Fugue 2;;17.01.2020;2020;CSEE_Z Intensivpädagogische Wohngruppe;22.01.2020;6;45102;;
91;d8TIl72sYTI;;;Fugue 3;;02.03.2020;2020;CSEE_Z Intensivpädagogische Wohngruppe;13.03.2020;12;45102;;
91;d8TIl72sYTI;;Séjour 2;;CSEE_Z Intensivpädagogische Wohngruppe;07.05.2020;2020;CSEE_Y Intensivpädagogische Wohngruppe;07.06.2020;32;45102;;
91;d8TIl72sYTI;;;Fugue 4;;10.05.2020;2020;CSEE_Y Intensivpädagogische Wohngruppe;03.06.2020;24;45102;;
91;d8TIl72sYTI;;;Fugue 5;;03.06.2020;2020;CSEE_Y Intensivpädagogische Wohngruppe;07.06.2020;4;45102;;
91;d8TIl72sYTI;;Séjour 3;;CSEE_Y Intensivpädagogische Wohngruppe;07.06.2020;2020;CSEE_Z Intensivpädagogische Wohngruppe;11.01.2021;219;45102;;
91;d8TIl72sYTI;;;Fugue 6;;09.06.2020;2020;CSEE_Z Intensivpädagogische Wohngruppe;10.06.2020;2;45102;;
91;d8TIl72sYTI;;;Fugue 7;;11.06.2020;2020;CSEE_Z Intensivpädagogische Wohngruppe;28.06.2020;18;45102;;
91;d8TIl72sYTI;;;Fugue 8;;02.07.2020;2020;CSEE_Z Intensivpädagogische Wohngruppe;11.07.2020;9;45102;;
91;d8TIl72sYTI;;;Fugue 9;;06.08.2020;2020;CSEE_Z Intensivpädagogische Wohngruppe;12.08.2020;6;45102;;
91;d8TIl72sYTI;;;Fugue 10;;17.09.2020;2020;CSEE_Z Intensivpädagogische Wohngruppe;06.10.2020;19;45102;;
91;d8TIl72sYTI;;Congé 1;;CSEE_Z Intensivpädagogische Wohngruppe;11.01.2021;2021;;27.01.2021;17;45102;Eltern / Familie;
91;d8TIl72sYTI;;Congé 2;;CSEE_Z Intensivpädagogische Wohngruppe;27.01.2021;2021;;02.08.2021;188;45102;Eltern / Familie;
91;d8TIl72sYTI;;Séjour 4;;Eltern / Familie;27.01.2021;2021;CSEE_Z Intensivpädagogische Wohngruppe;27.01.2021;1;45102;;
91;d8TIl72sYTI;;Séjour 5;;Eltern / Familie;02.08.2021;2021;CSEE_Z Intensivpädagogische Wohngruppe;18.04.2022;260;45102;;
91;d8TIl72sYTI;;;Fugue 11;;02.08.2021;2021;CSEE_Z Intensivpädagogische Wohngruppe;08.08.2021;7;45102;;
91;d8TIl72sYTI;;;Fugue 12;;08.08.2021;2021;CSEE_Z Intensivpädagogische Wohngruppe;07.09.2021;30;45102;;
91;d8TIl72sYTI;;;Fugue 13;;20.09.2021;2021;CSEE_Z Intensivpädagogische Wohngruppe;19.11.2021;60;45102;;
91;d8TIl72sYTI;;;Fugue 14;;21.11.2021;2021;CSEE_Z Intensivpädagogische Wohngruppe;02.02.2022;73;45102;;
91;d8TIl72sYTI;;Congé 3;;CSEE_Z Intensivpädagogische Wohngruppe;18.04.2022;2022;;19.07.2023;458;45102;Eltern / Familie;
92;YYH29cx4zzA;Admission 1;;;;23.05.2021;2021;;26.05.2021;4;44890;NA; 
92;YYH29cx4zzA;;Séjour 1;;;23.05.2021;2021;CSEE Unisec;26.05.2021;4;44890;;
93;Y2veFRLaFxs;Admission 1;;;;23.10.2022;2022;;07.06.2023;228;45224;CSEE_Y semi-autonome Wohngruppe; 
93;Y2veFRLaFxs;;Séjour 1;;;23.10.2022;2022;CSEE Unisec;09.12.2022;48;45224;;
93;Y2veFRLaFxs;;Congé 1;;CSEE Unisec;09.12.2022;2022;;07.06.2023;181;45224;Eltern / Familie;
93;Y2veFRLaFxs;Admission 2;;;Eltern / Familie;07.06.2023;2023;;25.11.2023;172;45224;majorité; 
93;Y2veFRLaFxs;;Séjour 2;;Eltern / Familie;07.06.2023;2023;CSEE_Y semi-autonome Wohngruppe;20.07.2023;44;45224;;
93;Y2veFRLaFxs;;;Fugue 1;;10.06.2023;2023;CSEE_Y semi-autonome Wohngruppe;11.06.2023;2;45224;;
93;Y2veFRLaFxs;;;Fugue 2;;25.06.2023;2023;CSEE_Y semi-autonome Wohngruppe;26.06.2023;2;45224;;
93;Y2veFRLaFxs;;;Fugue 3;;03.07.2023;2023;CSEE_Y semi-autonome Wohngruppe;06.07.2023;3;45224;;
93;Y2veFRLaFxs;;;Fugue 4;;06.07.2023;2023;CSEE_Y semi-autonome Wohngruppe;12.07.2023;6;45224;;
93;Y2veFRLaFxs;;Congé 2;;CSEE_Y semi-autonome Wohngruppe;20.07.2023;2023;;25.11.2023;129;45224;Einzelmassnahme Ausland;
93;Y2veFRLaFxs;Suivi 1;;;;23.08.2023;2023;;19.04.2024;241;45224;;
94;TISPczm7xh2;Admission 1;;;Heimstruktur AEF LUX;19.09.2020;2020;;25.11.2020;68;44767;NA; 
94;TISPczm7xh2;;Séjour 1;;Heimstruktur AEF LUX;19.09.2020;2020;CSEE_Y Intensivpädagogische Wohngruppe;21.09.2020;3;44767;;
94;TISPczm7xh2;;;Fugue 1;;20.09.2020;2020;CSEE_Y Intensivpädagogische Wohngruppe;21.09.2020;2;44767;;
94;TISPczm7xh2;;Séjour 2;;CSEE_Y Intensivpädagogische Wohngruppe;21.09.2020;2020;CSEE_Y Intensivpädagogische Wohngruppe;26.03.2021;187;44767;;
94;TISPczm7xh2;;;Fugue 2;;09.10.2020;2020;CSEE_Y Intensivpädagogische Wohngruppe;11.10.2020;2;44767;;
94;TISPczm7xh2;;;Fugue 3;;21.10.2020;2020;CSEE_Y Intensivpädagogische Wohngruppe;27.10.2020;6;44767;;
94;TISPczm7xh2;;;Fugue 4;;22.11.2020;2020;CSEE_Y Intensivpädagogische Wohngruppe;23.11.2020;2;44767;;
94;TISPczm7xh2;Admission 2;;;CSEE_Y Intensivpädagogische Wohngruppe;26.03.2021;2021;;21.05.2021;57;44767;CSEE Unisec; 
94;TISPczm7xh2;;Séjour 3;;CSEE_Y Intensivpädagogische Wohngruppe;26.03.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;18.04.2021;24;44767;;
94;TISPczm7xh2;;;Fugue 5;;07.04.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;09.04.2021;2;44767;;
94;TISPczm7xh2;;;Fugue 6;;09.04.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;11.04.2021;3;44767;;
94;TISPczm7xh2;;;Fugue 7;;17.04.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;18.04.2021;2;44767;;
94;TISPczm7xh2;;Séjour 4;;CSEE_X Intensivpädagogische  Wohngruppe;18.04.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;21.05.2021;34;44767;;
94;TISPczm7xh2;;;Fugue 8;;19.04.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;04.05.2021;16;44767;;
94;TISPczm7xh2;;;Fugue 9;;05.05.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;21.05.2021;16;44767;;
94;TISPczm7xh2;Admission 3;;;CSEE_X;21.05.2021;2021;;02.06.2021;13;44767;CSEE_X; 
94;TISPczm7xh2;;Séjour 5;;CSEE_X Intensivpädagogische  Wohngruppe;21.05.2021;2021;CSEE Unisec;02.06.2021;13;44767;;
94;TISPczm7xh2;Admission 4;;;CSEE Unisec;02.06.2021;2021;;11.07.2021;40;44767;CSEE Unisec; 
94;TISPczm7xh2;;Séjour 6;;CSEE Unisec;02.06.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;11.07.2021;40;44767;;
94;TISPczm7xh2;;;Fugue 10;;03.06.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;09.06.2021;6;44767;;
94;TISPczm7xh2;;;Fugue 11;;09.06.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;11.06.2021;3;44767;;
94;TISPczm7xh2;;;Fugue 12;;14.06.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;26.06.2021;13;44767;;
94;TISPczm7xh2;;;Fugue 13;;02.07.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;08.07.2021;7;44767;;
94;TISPczm7xh2;;;Fugue 14;;09.07.2021;2021;CSEE_X Intensivpädagogische Wohngruppe;11.07.2021;2;44767;;
94;TISPczm7xh2;Admission 5;;;CSEE_X Intensivpädagogische  Wohngruppe;11.07.2021;2021;;11.10.2021;93;44767;CSEE Unisec; 
94;TISPczm7xh2;;Séjour 7;;CSEE_X Intensivpädagogische  Wohngruppe;11.07.2021;2021;CSEE Unisec;11.10.2021;93;44767;;
94;TISPczm7xh2;Admission 6;;;CSEE Unisec;11.10.2021;2021;;05.11.2021;26;44767;CSEE_X; 
